s3_image_path,s3_resized_image_path,s3_mask_path,caption,a1,a2,a3,a4
s3://stable-diffusion-xl-public/datasets_training/nivea_dataset_train/original_images/nivea_000000.png,s3://stable-diffusion-xl-public/datasets_training/nivea_dataset_train/original_images/nivea_000000.png,s3://stable-diffusion-xl-public/datasets_training/nivea_dataset_train_resized/mask/nivea_mask_000000.png,A product placed on a blue background with a splash of white cream in the side.,this image may contain bottle and cosmetics,this is an image of a bottle of nivex face wash on a blue background,a bottle of face wash on a blue background,a bottle of face wash on a blue background
s3://stable-diffusion-xl-public/datasets_training/nivea_dataset_train/original_images/nivea_000001.png,s3://stable-diffusion-xl-public/datasets_training/nivea_dataset_train/original_images/nivea_000001.png,s3://stable-diffusion-xl-public/datasets_training/nivea_dataset_train_resized/mask/nivea_mask_000001.png,Products placed on a blue and white background.,a range of products on a blue marble background.,there is a bottle of nivex on the counter next to other products,nivea products are displayed on a table,three bottles of nivea products on a white surface
s3://stable-diffusion-xl-public/datasets_training/nivea_dataset_train/original_images/nivea_000002.png,s3://stable-diffusion-xl-public/datasets_training/nivea_dataset_train/original_images/nivea_000002.png,s3://stable-diffusion-xl-public/datasets_training/nivea_dataset_train_resized/mask/nivea_mask_000002.png,Products placed on a circular blue background with snow fall in the blue background.,nivea body lotion and body lotion on a shelf,there is a bottle of nivex and a container of hand sanitizer on a table,three bottles of nivea products sit on a shelf,three bottles of nivea products on a shelf
s3://stable-diffusion-xl-public/datasets_training/nivea_dataset_train/original_images/nivea_000003.png,s3://stable-diffusion-xl-public/datasets_training/nivea_dataset_train/original_images/nivea_000003.png,s3://stable-diffusion-xl-public/datasets_training/nivea_dataset_train_resized/mask/nivea_mask_000003.png,Products placed on a blue background with clouds and water droplets.,a range of products on a blue background with clouds and raindrops.,"there is a bottle of deodorant, a bottle of deodorant, and",a bottle of nivea lotion and other products on a blue background,a collection of nivea products on a blue background
s3://stable-diffusion-xl-public/datasets_training/nivea_dataset_train/original_images/nivea_000004.png,s3://stable-diffusion-xl-public/datasets_training/nivea_dataset_train/original_images/nivea_000004.png,s3://stable-diffusion-xl-public/datasets_training/nivea_dataset_train_resized/mask/nivea_mask_000004.png,A product held in hand placed on a blue background with water shower.,a hand holding a bottle of nivea shampoo in front of a blue tiled wall.,there is a person holding a bottle of hand sanitizer in the shower,a hand holding a bottle of nivea shower gel,a person holding up a bottle of nivea shower gel
s3://stable-diffusion-xl-public/datasets_training/nivea_dataset_train/original_images/nivea_000005.png,s3://stable-diffusion-xl-public/datasets_training/nivea_dataset_train/original_images/nivea_000005.png,s3://stable-diffusion-xl-public/datasets_training/nivea_dataset_train_resized/mask/nivea_mask_000005.png,A product held in hand placed on a blue background.,two hands holding a bottle of soft gel,someone is holding a bottle of nive soft and a bottle of body lotion in their hands,two hands holding a bottle of lotion and another bottle of lotion,two hands holding two bottles of nivea lotion
s3://stable-diffusion-xl-public/datasets_training/nivea_dataset_train/original_images/nivea_000006.png,s3://stable-diffusion-xl-public/datasets_training/nivea_dataset_train/original_images/nivea_000006.png,s3://stable-diffusion-xl-public/datasets_training/nivea_dataset_train_resized/mask/nivea_mask_000006.png,Products placed on a white floor with a blue tiled background.,a range of skin care products on a blue tiled wall.,there is a bottle of nivex and a container of body wash on a counter,a close up of a bottle of nivea lotion,a collection of nivea products on a counter
s3://stable-diffusion-xl-public/datasets_training/nivea_dataset_train/original_images/nivea_000007.png,s3://stable-diffusion-xl-public/datasets_training/nivea_dataset_train/original_images/nivea_000007.png,s3://stable-diffusion-xl-public/datasets_training/nivea_dataset_train_resized/mask/nivea_mask_000007.png,Products placed on colourful background with fruits and mint leaves. ,this image may contain cosmetics and face cream,there are three jars of yogurt sitting next to a banana and a peach,a bunch of different types of creams on a table,an assortment of creams and fruits on a colorful background
s3://stable-diffusion-xl-public/datasets_training/nivea_dataset_train/original_images/nivea_000008.png,s3://stable-diffusion-xl-public/datasets_training/nivea_dataset_train/original_images/nivea_000008.png,s3://stable-diffusion-xl-public/datasets_training/nivea_dataset_train_resized/mask/nivea_mask_000008.png,Products placed on pink clothy background.,this image may contain cosmetics and bottle,there are three nive deodorant deodorant deodorant deod,three bottles of nivea products on a pink background,three bottles of nivea deodorant on a pink background
s3://stable-diffusion-xl-public/datasets_training/nivea_dataset_train/original_images/nivea_000009.png,s3://stable-diffusion-xl-public/datasets_training/nivea_dataset_train/original_images/nivea_000009.png,s3://stable-diffusion-xl-public/datasets_training/nivea_dataset_train_resized/mask/nivea_mask_000009.png,"Products placed on orange, blue, pink and yellow coloured cubes with orange background.",this image may contain bottle and cosmetics,three jars of body creams sitting on top of cubes on a white surface,a bunch of jars of lotion sitting on top of each other,four different types of creams are stacked on top of each other
s3://stable-diffusion-xl-public/datasets_training/nivea_dataset_train/original_images/nivea_000010.png,s3://stable-diffusion-xl-public/datasets_training/nivea_dataset_train/original_images/nivea_000010.png,s3://stable-diffusion-xl-public/datasets_training/nivea_dataset_train_resized/mask/nivea_mask_000010.png,A product placed on a blue surface with a creamy wave pattern.,this image may contain advertisement poster brochure flyer paper brochure and flyer,there is a container of nive soft cream next to a container of vitamin pills on a blue,a bowl of cream on a blue background,a bottle of nivea lotion on a blue background
s3://stable-diffusion-xl-public/datasets_training/nivea_dataset_train/original_images/nivea_000011.png,s3://stable-diffusion-xl-public/datasets_training/nivea_dataset_train/original_images/nivea_000011.png,s3://stable-diffusion-xl-public/datasets_training/nivea_dataset_train_resized/mask/nivea_mask_000011.png,A product placed on a blue background with various stickers on it.,a collection of children's skincare products.,several containers of yogurt sitting on top of a blue surface,a bunch of different types of creams and lotions sitting on top of each other,a group of containers of lotion on a blue background
s3://stable-diffusion-xl-public/datasets_training/nivea_dataset_train/original_images/nivea_000012.png,s3://stable-diffusion-xl-public/datasets_training/nivea_dataset_train/original_images/nivea_000012.png,s3://stable-diffusion-xl-public/datasets_training/nivea_dataset_train_resized/mask/nivea_mask_000012.png,Products placed on a colourful surface,this image may contain cosmetics and face cream,several different flavors of yogurt sitting on a colorful surface,three jars of lotion sit on top of a table,four bottles of lotion sitting on a colorful table
s3://stable-diffusion-xl-public/datasets_training/nivea_dataset_train/original_images/nivea_000013.png,s3://stable-diffusion-xl-public/datasets_training/nivea_dataset_train/original_images/nivea_000013.png,s3://stable-diffusion-xl-public/datasets_training/nivea_dataset_train_resized/mask/nivea_mask_000013.png,A product place on a blue background with a splash of white cream in the side.,this image may contain bottle and cosmetics,there is a bottle of nivea face wash on a blue background,a bottle of nivea face wash on a white background,a bottle of face wash on a blue background
s3://stable-diffusion-xl-public/datasets_training/nivea_dataset_train/original_images/nivea_000014.png,s3://stable-diffusion-xl-public/datasets_training/nivea_dataset_train/original_images/nivea_000014.png,s3://stable-diffusion-xl-public/datasets_training/nivea_dataset_train_resized/mask/nivea_mask_000014.png,Products placed on a blue and white background.,a range of skincare products on a marble background.,there is a bottle of nivea and a container of body wash on a counter,a display of nivea products on a table,three bottles of nivea products on a white surface
s3://stable-diffusion-xl-public/datasets_training/nivea_dataset_train/original_images/nivea_000015.png,s3://stable-diffusion-xl-public/datasets_training/nivea_dataset_train/original_images/nivea_000015.png,s3://stable-diffusion-xl-public/datasets_training/nivea_dataset_train_resized/mask/nivea_mask_000015.png,Products placed on a white floor with a circular blue background with water shower inside it.,a range of four bottles of nivea body lotion and body lotion.,there is a bottle of nivex and a container of body lotion on a table,a bottle of nivea gel body lotion and a bottle of nivea gel body lotion,three bottles of nivea products on a shelf
s3://stable-diffusion-xl-public/datasets_training/nivea_dataset_train/original_images/nivea_000016.png,s3://stable-diffusion-xl-public/datasets_training/nivea_dataset_train/original_images/nivea_000016.png,s3://stable-diffusion-xl-public/datasets_training/nivea_dataset_train_resized/mask/nivea_mask_000016.png,A product held in hand placed on a blue tiled background with water shower.,this image may contain bottle and shampoo,there is a person holding a bottle of hand sanitizer in the shower,a hand holding a bottle of nivea's frangipani shower gel,a person holding up a bottle of nivea shower gel
s3://stable-diffusion-xl-public/datasets_training/nivea_dataset_train/original_images/nivea_000017.png,s3://stable-diffusion-xl-public/datasets_training/nivea_dataset_train/original_images/nivea_000017.png,s3://stable-diffusion-xl-public/datasets_training/nivea_dataset_train_resized/mask/nivea_mask_000017.png,Products held in hand and placed on a blue background.,two hands holding a bottle of soft water and a bottle,someone is holding a bottle of nive soft and a container of body lotion,two hands holding a bottle of nivea cream,two hands holding a bottle of nivea soap
s3://stable-diffusion-xl-public/datasets_training/nivea_dataset_train/original_images/nivea_000018.png,s3://stable-diffusion-xl-public/datasets_training/nivea_dataset_train/original_images/nivea_000018.png,s3://stable-diffusion-xl-public/datasets_training/nivea_dataset_train_resized/mask/nivea_mask_000018.png,Products placed on a white floor with a blue tiled background.,a range of skin care products,bottles of nivex body wash and body lotion sitting on a counter,a display of nivea products on a blue tiled wall,several bottles of nivea products on a counter
s3://stable-diffusion-xl-public/datasets_training/nivea_dataset_train/original_images/nivea_000019.png,s3://stable-diffusion-xl-public/datasets_training/nivea_dataset_train/original_images/nivea_000019.png,s3://stable-diffusion-xl-public/datasets_training/nivea_dataset_train_resized/mask/nivea_mask_000019.png,Products placed on colourful background with fruits and mint leaves. ,this image may contain cosmetics and face cream,three jars of nive fruit body butter on a colorful surface with peaches and raspberries,a bunch of different types of soaps on a table,nivea creams and fruits on a colorful background
s3://stable-diffusion-xl-public/datasets_training/nivea_dataset_train/original_images/nivea_000020.png,s3://stable-diffusion-xl-public/datasets_training/nivea_dataset_train/original_images/nivea_000020.png,s3://stable-diffusion-xl-public/datasets_training/nivea_dataset_train_resized/mask/nivea_mask_000020.png,Products placed on a blue watery background with roses around it.,a bottle of nivea body lotion,there is a bottle of nive water next to two pink roses on a blue surface,a bottle of nivea gel body lotion with two pink roses floating in the water,a bottle of nivea face wash next to two pink roses
s3://stable-diffusion-xl-public/datasets_training/nivea_dataset_train/original_images/nivea_000021.png,s3://stable-diffusion-xl-public/datasets_training/nivea_dataset_train/original_images/nivea_000021.png,s3://stable-diffusion-xl-public/datasets_training/nivea_dataset_train_resized/mask/nivea_mask_000021.png,Products placed on pink clothy background.,this image may contain cosmetics and bottle,three nivea deodorante deodorante deodorante deodoran,three bottles of nivea products on a pink background,three bottles of nivea deodorant on a pink background
s3://stable-diffusion-xl-public/datasets_training/nivea_dataset_train/original_images/nivea_000022.png,s3://stable-diffusion-xl-public/datasets_training/nivea_dataset_train/original_images/nivea_000022.png,s3://stable-diffusion-xl-public/datasets_training/nivea_dataset_train_resized/mask/nivea_mask_000022.png,"Products placed on orange, blue, pink and yellow coloured cubes with orange background.",this image may contain bottle and cosmetics,three jars of body butter sitting on top of cubes on a table,a bunch of different types of lotion sitting on top of each other,four different types of nivea creams are stacked on top of each other
s3://stable-diffusion-xl-public/datasets_training/nivea_dataset_train/original_images/nivea_000023.png,s3://stable-diffusion-xl-public/datasets_training/nivea_dataset_train/original_images/nivea_000023.png,s3://stable-diffusion-xl-public/datasets_training/nivea_dataset_train_resized/mask/nivea_mask_000023.png,A product placed on a blue surface with a creamy wave pattern.,this image may contain advertisement poster flyer paper brochure paper brochure and flyer,there is a jar of nive soft cream next to a bowl of sunflowers,a bottle of nivea soft cream on a blue background,a bottle of nivea soft cream on a blue background
s3://stable-diffusion-xl-public/datasets_training/nivea_dataset_train/original_images/nivea_000024.png,s3://stable-diffusion-xl-public/datasets_training/nivea_dataset_train/original_images/nivea_000024.png,s3://stable-diffusion-xl-public/datasets_training/nivea_dataset_train_resized/mask/nivea_mask_000024.png,Products placed on a blue and white background.,a range of products on a blue and white background.,there is a bottle of nivex on the counter next to other items,a display of nivea products on a table,three bottles of nivea products on a table
s3://stable-diffusion-xl-public/datasets_training/nivea_dataset_train/original_images/nivea_000025.png,s3://stable-diffusion-xl-public/datasets_training/nivea_dataset_train/original_images/nivea_000025.png,s3://stable-diffusion-xl-public/datasets_training/nivea_dataset_train_resized/mask/nivea_mask_000025.png,"Products placed on a light blue background with different circular stickers containing trophies, hats and paint brushes.",a collection of brand labels for a dental clinic.,several containers of various flavors of yogurt sitting on a blue surface,a bunch of different types of creams and lotions on a table,nivea creams on a blue background with colorful stickers
s3://stable-diffusion-xl-public/datasets_training/nivea_dataset_train/original_images/nivea_000026.png,s3://stable-diffusion-xl-public/datasets_training/nivea_dataset_train/original_images/nivea_000026.png,s3://stable-diffusion-xl-public/datasets_training/nivea_dataset_train_resized/mask/nivea_mask_000026.png,"Products placed on a coloured background of yellow, light blue, pink and white.",this image may contain advertisement poster flyer paper brochure flyer paper brochure and flyer,three containers of toothpaste sitting on top of a colorful surface,three tubs of nivea soft cream sitting on top of a table,three different types of nivea creams on a colorful table
s3://stable-diffusion-xl-public/datasets_training/nivea_dataset_train/original_images/nivea_000027.png,s3://stable-diffusion-xl-public/datasets_training/nivea_dataset_train/original_images/nivea_000027.png,s3://stable-diffusion-xl-public/datasets_training/nivea_dataset_train_resized/mask/nivea_mask_000027.png,Products placed on a yellow background with flowers and leafs.,a variety of products on a table,there is a bottle of nivex on the table next to some flowers and a candle,a bunch of bottles and lotions on a table,a collection of nivea products on a table
s3://stable-diffusion-xl-public/datasets_training/nivea_dataset_train/original_images/nivea_000028.png,s3://stable-diffusion-xl-public/datasets_training/nivea_dataset_train/original_images/nivea_000028.png,s3://stable-diffusion-xl-public/datasets_training/nivea_dataset_train_resized/mask/nivea_mask_000028.png,Products placed on yellow background with flower in front and hanging on the background.,a collection of products on a yellow background.,there are many different types of skin care products displayed on a table,a bunch of bottles of lotions and shampoos sitting on top of a table,several bottles of nivea products on a table
s3://stable-diffusion-xl-public/datasets_training/nivea_dataset_train/original_images/nivea_000029.png,s3://stable-diffusion-xl-public/datasets_training/nivea_dataset_train/original_images/nivea_000029.png,s3://stable-diffusion-xl-public/datasets_training/nivea_dataset_train_resized/mask/nivea_mask_000029.png,Products  held in hands and placed on a orange background.,this image may contain human person cosmetics and bottle,three hands holding a bottle of nive hand sanitizer and a bottle of body lotion,a group of people holding bottles of lotions and soaps,a group of hands holding various nivea products
s3://stable-diffusion-xl-public/datasets_training/nivea_dataset_train/original_images/nivea_000030.png,s3://stable-diffusion-xl-public/datasets_training/nivea_dataset_train/original_images/nivea_000030.png,s3://stable-diffusion-xl-public/datasets_training/nivea_dataset_train_resized/mask/nivea_mask_000030.png,Product place on a white table floating on ocean with sky background.,a collection of skin care products,there is a white table topped with a mirror and a lot of personal care items,a table with bottles of lotion and jewelry on it,an assortment of nivea products on a table
